data_hora,entrada_id_raw,entrada_prazo_raw,entrada_taxa_raw,entrada_produto_raw,entrada_convenio_raw,saida_produto,saida_convenio,saida_familia,saida_grupo,confianca,aprovado,corrigido_para
2025-12-11T22:12:57.123561,2234,84,2,EMPRÉSTIMO - GOV TOCANTINS - 2.00%,Gov. TO,EMPRÉSTIMO - GOV TOCANTINS - 2.00%,Gov. TO,,,0.3,,
2025-12-11T22:12:57.125762,2234,96,2,EMPRÉSTIMO - GOV TOCANTINS - 2.00%,Gov. TO,EMPRÉSTIMO - GOV TOCANTINS - 2.00%,Gov. TO,,,0.3,,
2025-12-11T22:12:57.125762,2412,120,2,EMPRÉSTIMO - PREF CAMPO LARGO - 2.00%,PREF CAMPO LARGO,EMPRÉSTIMO - PREF CAMPO LARGO - 2.00%,PREF CAMPO LARGO,,,0.3,,
2025-12-11T22:12:57.135160,2856,120,1.9,COMBO - GOV ACRE - PORT 1.49% A 2.50% - REFIN 1.90%,Gov. AC,COMBO - GOV ACRE - PORT 1.49% A 2.50% - REFIN 1.90%,Gov. AC,,,0.3,,
2025-12-11T22:12:57.139155,2857,120,1.95,COMBO - GOV ACRE - PORT 1.49% A 2.50% - REFIN 1.95%,Gov. AC,COMBO - GOV ACRE - PORT 1.49% A 2.50% - REFIN 1.95%,Gov. AC,,,0.3,,
2025-12-11T22:12:57.142161,2858,120,2,COMBO - GOV ACRE - PORT 1.49% A 2.50% - REFIN 2.00%,Gov. AC,COMBO - GOV ACRE - PORT 1.49% A 2.50% - REFIN 2.00%,Gov. AC,,,0.3,,
2025-12-11T22:12:57.145159,2859,120,2.1,COMBO - GOV ACRE - PORT 1.49% A 2.50% - REFIN 2.10%,Gov. AC,COMBO - GOV ACRE - PORT 1.49% A 2.50% - REFIN 2.10%,Gov. AC,,,0.3,,
2025-12-11T22:12:57.149300,2860,120,2.2,COMBO - GOV ACRE - PORT 1.49% A 2.50% - REFIN 2.20%,Gov. AC,COMBO - GOV ACRE - PORT 1.49% A 2.50% - REFIN 2.20%,Gov. AC,,,0.3,,
2025-12-11T22:12:57.152300,2861,120,2.3,COMBO - GOV ACRE - PORT 1.49% A 2.50% - REFIN 2.30%,Gov. AC,COMBO - GOV ACRE - PORT 1.49% A 2.50% - REFIN 2.30%,Gov. AC,,,0.3,,
2025-12-11T22:12:57.155301,2862,120,2.4,COMBO - GOV ACRE - PORT 1.49% A 2.50% - REFIN 2.40%,Gov. AC,COMBO - GOV ACRE - PORT 1.49% A 2.50% - REFIN 2.40%,Gov. AC,,,0.3,,
2025-12-11T22:12:57.158305,2863,120,2.5,COMBO - GOV ACRE - PORT 1.49% A 2.50% - REFIN 2.50%,Gov. AC,COMBO - GOV ACRE - PORT 1.49% A 2.50% - REFIN 2.50%,Gov. AC,,,0.3,,
2025-12-11T22:12:57.162309,2864,120,1.93,COMBO - GOV AMAZONAS - PORT 1.47% A 2.50% - REFIN 1.93%,Gov. AM,COMBO - GOV AMAZONAS - PORT 1.47% A 2.50% - REFIN 1.93%,Gov. AM,,,0.3,,
2025-12-11T22:12:57.165308,2865,120,1.98,COMBO - GOV AMAZONAS - PORT 1.47% A 2.50% - REFIN 1.98%,Gov. AM,COMBO - GOV AMAZONAS - PORT 1.47% A 2.50% - REFIN 1.98%,Gov. AM,,,0.3,,
2025-12-11T22:12:57.169303,2866,120,2,COMBO - GOV AMAZONAS - PORT 1.47% A 2.50% - REFIN 2.00%,Gov. AM,COMBO - GOV AMAZONAS - PORT 1.47% A 2.50% - REFIN 2.00%,Gov. AM,,,0.3,,
2025-12-11T22:12:57.172302,2867,120,2.1,COMBO - GOV AMAZONAS - PORT 1.47% A 2.50% - REFIN 2.10%,Gov. AM,COMBO - GOV AMAZONAS - PORT 1.47% A 2.50% - REFIN 2.10%,Gov. AM,,,0.3,,
2025-12-11T22:12:57.175305,2868,120,2.2,COMBO - GOV AMAZONAS - PORT 1.47% A 2.50% - REFIN 2.20%,Gov. AM,COMBO - GOV AMAZONAS - PORT 1.47% A 2.50% - REFIN 2.20%,Gov. AM,,,0.3,,
2025-12-11T22:12:57.179308,2869,120,2.3,COMBO - GOV AMAZONAS - PORT 1.47% A 2.50% - REFIN 2.30%,Gov. AM,COMBO - GOV AMAZONAS - PORT 1.47% A 2.50% - REFIN 2.30%,Gov. AM,,,0.3,,
2025-12-11T22:12:57.186635,2870,120,2.4,COMBO - GOV AMAZONAS - PORT 1.47% A 2.50% - REFIN 2.40%,Gov. AM,COMBO - GOV AMAZONAS - PORT 1.47% A 2.50% - REFIN 2.40%,Gov. AM,,,0.3,,
2025-12-11T22:12:57.189628,2871,120,2.5,COMBO - GOV AMAZONAS - PORT 1.47% A 2.50% - REFIN 2.50%,Gov. AM,COMBO - GOV AMAZONAS - PORT 1.47% A 2.50% - REFIN 2.50%,Gov. AM,,,0.3,,
2025-12-11T22:12:57.192622,2872,120,1.72,COMBO - GOV BAHIA - PORT 1.40% A 2.30% - REFIN 1.72%,Gov. BA,COMBO - GOV BAHIA - PORT 1.40% A 2.30% - REFIN 1.72%,Gov. BA,,,0.3,,
2025-12-11T22:12:57.195628,2873,120,1.75,COMBO - GOV BAHIA - PORT 1.40% A 2.30% - REFIN 1.75%,Gov. BA,COMBO - GOV BAHIA - PORT 1.40% A 2.30% - REFIN 1.75%,Gov. BA,,,0.3,,
2025-12-11T22:12:57.200673,2874,120,1.8,COMBO - GOV BAHIA - PORT 1.40% A 2.30% - REFIN 1.80%,Gov. BA,COMBO - GOV BAHIA - PORT 1.40% A 2.30% - REFIN 1.80%,Gov. BA,,,0.3,,
2025-12-11T22:12:57.207010,2875,120,1.85,COMBO - GOV BAHIA - PORT 1.40% A 2.30% - REFIN 1.85%,Gov. BA,COMBO - GOV BAHIA - PORT 1.40% A 2.30% - REFIN 1.85%,Gov. BA,,,0.3,,
2025-12-11T22:12:57.213604,2876,120,1.9,COMBO - GOV BAHIA - PORT 1.40% A 2.30% - REFIN 1.90%,Gov. BA,COMBO - GOV BAHIA - PORT 1.40% A 2.30% - REFIN 1.90%,Gov. BA,,,0.3,,
2025-12-11T22:12:57.217748,2877,120,2,COMBO - GOV BAHIA - PORT 1.40% A 2.30% - REFIN 2.00%,Gov. BA,COMBO - GOV BAHIA - PORT 1.40% A 2.30% - REFIN 2.00%,Gov. BA,,,0.3,,
2025-12-11T22:12:57.217748,2878,120,2.1,COMBO - GOV BAHIA - PORT 1.40% A 2.30% - REFIN 2.10%,Gov. BA,COMBO - GOV BAHIA - PORT 1.40% A 2.30% - REFIN 2.10%,Gov. BA,,,0.3,,
2025-12-11T22:12:57.227953,2879,120,2.2,COMBO - GOV BAHIA - PORT 1.40% A 2.30% - REFIN 2.20%,Gov. BA,COMBO - GOV BAHIA - PORT 1.40% A 2.30% - REFIN 2.20%,Gov. BA,,,0.3,,
2025-12-11T22:12:57.232284,2880,120,2.3,COMBO - GOV BAHIA - PORT 1.40% A 2.30% - REFIN 2.30%,Gov. BA,COMBO - GOV BAHIA - PORT 1.40% A 2.30% - REFIN 2.30%,Gov. BA,,,0.3,,
2025-12-11T22:12:57.237282,2881,120,1.87,COMBO - GOV GOIÁS - PORT 1.79% A 2.35% - REFIN 1.87%,Gov. GO,COMBO - GOV GOIÁS - PORT 1.79% A 2.35% - REFIN 1.87%,Gov. GO,,,0.3,,
2025-12-11T22:12:57.241282,2882,120,1.95,COMBO - GOV GOIÁS - PORT 1.79% A 2.35% - REFIN 1.95%,Gov. GO,COMBO - GOV GOIÁS - PORT 1.79% A 2.35% - REFIN 1.95%,Gov. GO,,,0.3,,
2025-12-11T22:12:57.245286,2883,120,2.05,COMBO - GOV GOIÁS - PORT 1.79% A 2.35% - REFIN 2.05%,Gov. GO,COMBO - GOV GOIÁS - PORT 1.79% A 2.35% - REFIN 2.05%,Gov. GO,,,0.3,,
